Year,"Total forcing [V,S,L,G]"
1126,-0.00956696
1127,0.026986747
1128,0.0711575999999999
1129,0.0952636
1130,0.1218008
1131,0.104348
1132,0.0827027
1133,-0.1394391999999999
1134,-0.070675
1135,0.0006148
1136,0.00171302
1137,0.007077632
1138,0.047028
1139,0.0966302
1140,0.122594
1141,0.1517977999999999
1142,0.1288110999999999
1143,0.0175971
1144,0.0348089
1145,0.0370017099999999
1146,0.01890188
1147,-0.0008328429999999
1148,0.0160161579999999
1149,0.0496222999999999
1150,0.0921326
1151,-0.1015740999999999
1152,0.0228591
1153,0.0944545
1154,0.08502239
1155,0.067107846
1156,0.0353368
1157,0.0119623999999999
1158,-0.0078244
1159,-2.2413980999999996
1160,-1.2004239
1161,-0.1519916
1162,0.0500342
1163,0.10055191
1164,0.088607356
1165,0.0677994
1166,0.0515435999999999
1167,0.0262248999999999
1168,0.0081711
1169,-0.0065875999999999
1170,0.0065546
1171,0.0300288999999999
1172,0.0599021
1173,0.0752693999999999
1174,0.0929316
1175,0.0781869
1176,0.0604712
1177,-2.5417876000000006
1178,-2.1884133
1179,-0.4210150999999999
1180,-0.0766453
1181,-0.0083045
1182,0.0277966199999999
1183,0.0600949
1184,0.0761932
1185,0.0944124
1186,0.0792807
1187,0.0610339
1188,0.0469051999999999
1189,-0.3309105
1190,-0.2157892999999999
1191,-0.0482653
1192,-0.00472036
1193,0.02488045
1194,0.0558976999999999
1195,0.0709477
1196,0.0880479
1197,0.0724536
1198,0.0537956999999999
1199,0.0392396
1200,0.0171122999999999
1201,0.0006975999999999
1202,-0.0132228999999999
1203,-0.0044161999999999
1204,0.0167845
1205,0.0439402
1206,0.0572527
1207,0.0726183
1208,0.0575352
1209,0.0394382999999999
1210,0.0252982
1211,0.0036165999999999
1212,-0.0123027
1213,-0.0259209
1214,-4.7552525999999995
1215,-2.9160577
1216,-0.5319888
1217,-0.0590508
1218,0.0343731
1219,0.0345837499999999
1220,0.0183967999999999
1221,0.0050622
1222,-0.0155059
1223,-0.0307036
1224,-0.0436979
1225,-0.0361524
1226,-0.0192269999999999
1227,0.0027784
1228,0.0134368
1229,0.0258828
1230,0.0130547
1231,-0.0020435999999999
1232,-0.0137449
1233,-1.4418462
1234,-0.7986825000000001
1235,-0.1922301
1236,-0.0760998
1237,-0.03625991
1238,-0.006539932
1239,0.0076847999999999
1240,0.0232699
1241,0.0109186
1242,-0.0037973999999999
1243,-0.0148747
1244,-0.0326786
1245,-0.0453053
1246,-0.0555144999999999
1247,-0.0522411
1248,-0.0288961999999999
1249,0.0005724
1250,0.0159442
1251,0.0333037
1252,0.019363
1253,0.0023724999999999
1254,-0.0103918
1255,-0.0312711999999999
1256,-0.0464530999999999
1257,-0.0595257
1258,-0.0440058
1259,-20.731832099999995
1260,-12.2997622
1261,-2.2965304
1262,-0.381897
1263,-0.0663971
1264,-0.01943487
1265,-0.0260292
1266,-0.0429244
1267,-0.0555246
1268,-0.0657268
1269,-1.6250871000000002
1270,-0.8840629000000001
1271,-0.1833618
1272,-0.0499941999999999
1273,-0.02105717
1274,-0.024294496
1275,-0.0324895999999999
1276,-6.2578380000000005
1277,-3.4295665000000004
1278,-0.6740007
1279,-0.1667480999999999
1280,-0.0774328
1281,-0.04818314
1282,-0.0310616
1283,-0.0225299
1284,-0.0130984
1285,-4.7041671
1286,-2.726944
1287,-0.5361442
1288,-0.1317699
1289,-0.068087
1290,-0.06115105
1291,-0.0551768999999999
1292,-0.0437568
1293,-0.0294214999999999
1294,-0.0216754
1295,-0.0133742
1296,-0.0207540999999999
1297,-0.0296473999999999
1298,-0.0364539
1299,-0.0471342999999999
1300,-0.0548262
1301,-0.0613329
1302,-0.0493117
1303,-0.0434947999999999
1304,-0.0360820999999999
1305,-0.032136
1306,-0.0273887999999999
1307,-0.0303804
1308,-0.1540357
1309,-0.1011069
1310,-0.0533876
